genes,coordinates
YDR470C,chrIV:1362608-1362654:-
YDR471W,chrIV:1363012-1363076:+
YDR472W,chrIV:1364525-1364611:+
YDR473C,chrIV:1367220-1367285:-
YDR475C,chrIV:1371437-1371602:-
YDR476C,chrIV:1372454-1372519:-
YDR477W,chrIV:1373623-1373649:+
YDR478W,chrIV:1375837-1375897:+
YDR479C,chrIV:1378200-1378267:-
YDR480W,chrIV:1378616-1378697:+
YDR481C,chrIV:1381597-1381676:-
YDR482C,chrIV:1382168-1382282:-
YDR483W,chrIV:1382364-1382478:+
YDR484W,chrIV:1384003-1384070:+
YDL188C,chrIV:138733-138805:-
YDR485C,chrIV:1388540-1388601:-
YDR486C,chrIV:1389445-1389544:-
YDR487C,chrIV:1390316-1390385:-
YDL186W,chrIV:139209-139219:+
YDR488C,chrIV:1392101-1392140:-
YDR489W,chrIV:1392317-1392334:+
YDR490C,chrIV:1395643-1395712:-
YDR492W,chrIV:1396026-1396137:+
YDR493W,chrIV:1397434-1397531:+
YDR494W,chrIV:1398195-1398276:+
YDR495C,chrIV:1402531-1402554:-
YDL185W,chrIV:140267-140336:+
YDR497C,chrIV:1406836-1406962:-
YDR498C,chrIV:1408340-1408394:-
YDR499W,chrIV:1409248-1409309:+
YDR501W,chrIV:1412798-1412812:+
YDR502C,chrIV:1415945-1416026:-
YDR503C,chrIV:1417368-1417420:-
YDR505C,chrIV:1420803-1420972:-
YDR506C,chrIV:1423016-1423109:-
YDR507C,chrIV:1427358-1427406:-
YDR508C,chrIV:1429978-1430042:-
YDR510W,chrIV:1430766-1430936:+
YDR511W,chrIV:1431449-1431528:+
YDR512C,chrIV:1432247-1432335:-
YDR513W,chrIV:1432439-1432572:+
YDR514C,chrIV:1434510-1434592:-
YDR515W,chrIV:1434890-1434909:+
YDR516C,chrIV:1437946-1438085:-
YDR517W,chrIV:1438622-1438736:+
YDR518W,chrIV:1440062-1440118:+
YDL183C,chrIV:144111-144161:-
YDR519W,chrIV:1441872-1441951:+
YDR520C,chrIV:1444980-1445043:-
YDR523C,chrIV:1448780-1448827:-
YDR524C,chrIV:1450514-1450619:-
YDR524C-B,chrIV:1451312-1451448:-
YDR527W,chrIV:1452502-1452588:+
YDR528W,chrIV:1455778:+
YDL182W,chrIV:145639-145668:+
YDR529C,chrIV:1458019-1458126:-
YDR530C,chrIV:1459273-1459313:-
YDR531W,chrIV:1459660-1459716:+
YDR532C,chrIV:1462049-1462146:-
YDR533C,chrIV:1463685-1463734:-
YDR536W,chrIV:1469105-1469109:+
YDL181W,chrIV:147201-147435:+
YDL180W,chrIV:147954-148025:+
YDR541C,chrIV:1482211-1482249:-
YDL179W,chrIV:150370-150392:+
YDL178W,chrIV:151632-151688:+
YDL177C,chrIV:153889-153990:-
YDL176W,chrIV:154093-154149:+
YDL175C,chrIV:157677-157737:-
YDL174C,chrIV:159767-159864:-
YDL173W,chrIV:160276-160430:+
YDL171C,chrIV:167801-167854:-
YDL170W,chrIV:168453-168491:+
YDL169C,chrIV:170855-170948:-
YDL168W,chrIV:171663-171747:+
YDL167C,chrIV:175356-175372:-
YDL166C,chrIV:176217-176275:-
YDL165W,chrIV:176387-176437:+
YDL164C,chrIV:179400-179465:-
YDL161W,chrIV:179842-179873:+
YDL160C-A,chrIV:181777-181795:-
YDL160C,chrIV:184258-184401:-
YDL159W,chrIV:184579-184599:+
YDL157C,chrIV:186759-186819:-
YDL156W,chrIV:186982:+
YDL155W,chrIV:188768-188805:+
YDL154W,chrIV:190417-190512:+
YDL247W,chrIV:19188-19217:+
YDL153C,chrIV:195196-195211:-
YDL150W,chrIV:195355-195414:+
YDL149W,chrIV:197023-197088:+
YDL147W,chrIV:202978-203077:+
YDL146W,chrIV:204708-204745:+
YDL145C,chrIV:210542-210616:-
YDL144C,chrIV:211884-211941:-
YDL143W,chrIV:212073-212127:+
YDL142C,chrIV:214759-214812:-
YDL141W,chrIV:214906-215004:+
YDL139C,chrIV:224177-224271:-
YDL138W,chrIV:225161-225370:+
YDL137W,chrIV:228603-228609:+
YDL136W,chrIV:229653-229700:+
YDL135C,chrIV:231453-231596:-
YDL134C,chrIV:232914-232940:-
YDL246C,chrIV:23349-23364:-
YDL133W,chrIV:234404-234461:+
YDL132W,chrIV:236123-236183:+
YDL131W,chrIV:239377-239492:+
YDL130W-A,chrIV:241190-241300:+
YDL130W,chrIV:241889-241999:+
YDL129W,chrIV:242975-243020:+
YDL128W,chrIV:244635-244743:+
YDL127W,chrIV:246955-246972:+
YDL126C,chrIV:250771-250842:-
YDL125C,chrIV:251660-251715:-
YDL124W,chrIV:252220-252345:+
YDL123W,chrIV:253431-253503:+
YDL122W,chrIV:254571:+
YDL121C,chrIV:257680-257720:-
YDL120W,chrIV:257920-257983:+
YDL119C,chrIV:259724-259786:-
YDL117W,chrIV:260262-260376:+
YDL116W,chrIV:263579-263646:+
YDL115C,chrIV:267221-267279:-
YDL114W,chrIV:267621-267651:+
YDL113C,chrIV:270676-270732:-
YDL112W,chrIV:270926-270961:+
YDL111C,chrIV:276230-276270:-
YDL110C,chrIV:277044-277152:-
YDL109C,chrIV:279295-279336:-
YDL108W,chrIV:279679-279759:+
YDL107W,chrIV:280959-281002:+
YDL106C,chrIV:283989-284063:-
YDL105W,chrIV:284407-284465:+
YDL104C,chrIV:286987-287006:-
YDL103C,chrIV:288694-288758:-
YDL102W,chrIV:288863-288885:+
YDL101C,chrIV:293946-294018:-
YDL100C,chrIV:295281-295337:-
YDL099W,chrIV:295435-295503:+
YDL098C,chrIV:297258-297310:-
YDL097C,chrIV:298792-298871:-
YDL095W,chrIV:299064-299146:+
YDL093W,chrIV:301927-301985:+
YDL092W,chrIV:304845-304871:+
YDL091C,chrIV:306892-306963:-
YDL090C,chrIV:308421-308498:-
YDL089W,chrIV:308785:+
YDL088C,chrIV:312165-312237:-
YDL087C,chrIV:313090-313122:-
YDL086W,chrIV:313473-313508:+
YDL085C-A,chrIV:314768-314846:-
YDL085W,chrIV:315138-315284:+
YDL084W,chrIV:317145-317269:+
YDL083C,chrIV:319905-319967:-
YDL082W,chrIV:320447-320481:+
YDL081C,chrIV:322248-322332:-
YDL080C,chrIV:324551-324596:-
YDL079C,chrIV:326816-326972:-
YDL078C,chrIV:328476-328671:-
YDL077C,chrIV:332334-332387:-
YDL076C,chrIV:333732-333785:-
YDL075W,chrIV:334181-334299:+
YDL074C,chrIV:338276-338309:-
YDL073W,chrIV:338499-338518:+
YDL072C,chrIV:342528-342613:-
YDL070W,chrIV:343038-343166:+
YDL069C,chrIV:346015-346046:-
YDL067C,chrIV:346427-346530:-
YDL066W,chrIV:346838-346894:+
YDL065C,chrIV:349336-349389:-
YDL064W,chrIV:349492-349543:+
YDL063C,chrIV:352251-352306:-
YDL061C,chrIV:352865-352873:-
YDL060W,chrIV:353622-353653:+
YDL059C,chrIV:356997-357109:-
YDL058W,chrIV:357644-357653:+
YDL240W,chrIV:35890-35913:+
YDL057W,chrIV:363437-363506:+
YDL056W,chrIV:364810-364856:+
YDL055C,chrIV:368868-369014:-
YDL054C,chrIV:373317-373467:-
YDL053C,chrIV:374308-374321:-
YDL052C,chrIV:375655-375694:-
YDL051W,chrIV:375962-375996:+
YDL049C,chrIV:377948-378052:-
YDL048C,chrIV:380106-380336:-
YDL047W,chrIV:381522-381687:+
YDL046W,chrIV:383196-383300:+
YDL045W-A,chrIV:384235-384297:+
YDL045C,chrIV:385760-385857:-
YDL044C,chrIV:387347-387377:-
YDL043C,chrIV:388541-388595:-
YDL042C,chrIV:390508-390590:-
YDL040C,chrIV:393520-393555:-
YDL036C,chrIV:400127:-
YDL035C,chrIV:403508-403607:-
YDL033C,chrIV:405121-405179:-
YDL031W,chrIV:405366-405375:+
YDL030W,chrIV:408628-408690:+
YDL029W,chrIV:410496-410530:+
YDL028C,chrIV:414606-414677:-
YDL027C,chrIV:416175-416238:-
YDL025C,chrIV:418517-418623:-
YDL239C,chrIV:42030-42123:-
YDL024C,chrIV:421064-421074:-
YDL022W,chrIV:422851-423014:+
YDL021W,chrIV:425059-425144:+
YDL020C,chrIV:427877-428165:-
YDL019C,chrIV:432840-432954:-
YDL018C,chrIV:434745-434805:-
YDL017W,chrIV:435285-435412:+
YDL238C,chrIV:43717-43804:-
YDL015C,chrIV:438163-438221:-
YDL014W,chrIV:438404-438478:+
YDL237W,chrIV:43870-43939:+
YDL013W,chrIV:440112-440162:+
YDL012C,chrIV:442728-442773:-
YDL010W,chrIV:443476-443558:+
YDL008W,chrIV:444628-444720:+
YDL007C-A,chrIV:447864-447991:-
YDL007W,chrIV:449003-449078:+
YDL006W,chrIV:450549-450699:+
YDL005C,chrIV:453258-453409:-
YDL004W,chrIV:453964-454075:+
YDL236W,chrIV:45477-45552:+
YDL003W,chrIV:455546-455614:+
YDL002C,chrIV:458646-458777:-
YDL001W,chrIV:458902-458989:+
YDR001C,chrIV:463554-463799:-
YDR002W,chrIV:464014-464095:+
YDR003W,chrIV:465072-465231:+
YDR004W,chrIV:466256-466331:+
YDR005C,chrIV:469258-469309:-
YDR006C,chrIV:472287-472460:-
YDL235C,chrIV:47261-47299:-
YDR007W,chrIV:472658-472700:+
YDR011W,chrIV:476924-477005:+
YDR012W,chrIV:482835-482919:+
YDR013W,chrIV:484163-484277:+
YDR014W,chrIV:485055-485127:+
YDR014W-A,chrIV:488817-488949:+
YDR016C,chrIV:489857-489907:-
YDR017C,chrIV:493356-493493:-
YDR018C,chrIV:494921-494988:-
YDR019C,chrIV:496448-496511:-
YDL234C,chrIV:49759-49913:-
YDR020C,chrIV:497590-497655:-
YDR021W,chrIV:497779-497856:+
YDR022C,chrIV:499707-499809:-
YDL233W,chrIV:50004-50063:+
YDR023W,chrIV:500491-500568:+
YDR025W,chrIV:502513-502575:+
YDR026C,chrIV:505469-505549:-
YDR027C,chrIV:508467-508519:-
YDR030C,chrIV:514340-514393:-
YDR031W,chrIV:514519-514557:+
YDR032C,chrIV:515766-515934:-
YDR033W,chrIV:519117-519143:+
YDR034C,chrIV:523286-523345:-
YDR035W,chrIV:527161-527327:+
YDR036C,chrIV:530159-530291:-
YDR037W,chrIV:530884-530965:+
YDR040C,chrIV:536361-536459:-
YDR041W,chrIV:537494-537666:+
YDR042C,chrIV:539039-539191:-
YDR043C,chrIV:541294-541354:-
YDR044W,chrIV:544034-544332:+
YDR045C,chrIV:546115:-
YDR046C,chrIV:548323-548336:-
YDR047W,chrIV:549365-549393:+
YDR049W,chrIV:550813-550879:+
YDR050C,chrIV:554063-554223:-
YDL231C,chrIV:55544-55653:-
YDR051C,chrIV:555718-555757:-
YDR052C,chrIV:558368-558471:-
YDL230W,chrIV:55908-55957:+
YDR054C,chrIV:560079-560178:-
YDR055W,chrIV:561095-561219:+
YDR056C,chrIV:563293-563396:-
YDR057W,chrIV:563505-563580:+
YDR058C,chrIV:566345-566406:-
YDR059C,chrIV:567422-567525:-
YDR060W,chrIV:568213-568251:+
YDR061W,chrIV:571722-571816:+
YDL229W,chrIV:57227-57306:+
YDR062W,chrIV:574014-574117:+
YDR063W,chrIV:576143-576273:+
YDR064W,chrIV:577002-577079:+
YDR065W,chrIV:578284-578292:+
YDR066C,chrIV:580187-580313:-
YDR067C,chrIV:581123-581196:-
YDR068W,chrIV:581283-581338:+
YDR069C,chrIV:585427-585447:-
YDR070C,chrIV:586080-586233:-
YDR071C,chrIV:587090-587214:-
YDR072C,chrIV:589132-589243:-
YDR073W,chrIV:589999-590142:+
YDR074W,chrIV:591403-591450:+
YDR075W,chrIV:594595-594617:+
YDR076W,chrIV:596038-596082:+
YDR077W,chrIV:598304-599477:+
YDR078C,chrIV:600470-600522:-
YDR079W,chrIV:600614-600676:+
YDR079C-A,chrIV:601391-601477:-
YDR080W,chrIV:601545-601581:+
YDR081C,chrIV:607748-607778:-
YDR082W,chrIV:607925-607996:+
YDR084C,chrIV:611625-611686:-
YDR085C,chrIV:613755-614000:-
YDR086C,chrIV:614786-614884:-
YDR087C,chrIV:615924-615964:-
YDR088C,chrIV:617418-617491:-
YDR089W,chrIV:619519-619535:+
YDR090C,chrIV:623572-623712:-
YDR091C,chrIV:626134-626243:-
YDR093W,chrIV:628473-628484:+
YDR096W,chrIV:634298-634402:+
YDR097C,chrIV:641331-641395:-
YDR098C,chrIV:642402-642444:-
YDR099W,chrIV:645015-645097:+
YDR100W,chrIV:646472-646534:+
YDR101C,chrIV:648979-649006:-
YDL226C,chrIV:65434-65471:-
YDL225W,chrIV:65632-65673:+
YDR104C,chrIV:656454-656492:-
YDR105C,chrIV:658299-658349:-
YDR106W,chrIV:658488:+
YDR107C,chrIV:662185-662246:-
YDR108W,chrIV:662335-662452:+
YDR109C,chrIV:666807-666826:-
YDR110W,chrIV:667187-667223:+
YDR111C,chrIV:670900-670928:-
YDR113C,chrIV:672797-672901:-
YDR115W,chrIV:673262-673324:+
YDR116C,chrIV:674735-674774:-
YDR117C,chrIV:676814-676841:-
YDR118W,chrIV:676953-677023:+
YDR119W,chrIV:679260-679361:+
YDR119W-A,chrIV:682064-682274:+
YDR121W,chrIV:684560-684694:+
YDR122W,chrIV:685545-685642:+
YDR123C,chrIV:690537-690738:-
YDR124W,chrIV:691408-691424:+
YDR126W,chrIV:694346-694393:+
YDR127W,chrIV:695547-695625:+
YDL224C,chrIV:69942-69995:-
YDR128W,chrIV:700658-700698:+
YDR129C,chrIV:706575-706622:-
YDR130C,chrIV:707768-707828:-
YDR131C,chrIV:709657-709737:-
YDR132C,chrIV:711541-711612:-
YDR135C,chrIV:718772-718802:-
YDR137W,chrIV:719333-719353:+
YDR138W,chrIV:721719-721745:+
YDR140W,chrIV:725298-725319:+
YDR141C,chrIV:731186-731226:-
YDR142C,chrIV:732849-732984:-
YDR143C,chrIV:735138-735202:-
YDL223C,chrIV:73719-73813:-
YDR144C,chrIV:737397-737419:-
YDR145W,chrIV:737805-737861:+
YDR146C,chrIV:742062-742081:-
YDR147W,chrIV:742715-742770:+
YDR148C,chrIV:746243-746498:-
YDR150W,chrIV:746728-746771:+
YDL222C,chrIV:75062-75217:-
YDR151C,chrIV:755245-755392:-
YDR152W,chrIV:755690-755757:+
YDR153C,chrIV:758045-758183:-
YDR155C,chrIV:759040-759200:-
YDR156W,chrIV:759530-759562:+
YDR159W,chrIV:761837-761850:+
YDR160W,chrIV:766021-766056:+
YDR161W,chrIV:768994-769067:+
YDR162C,chrIV:771221-771278:-
YDR163W,chrIV:771361-771447:+
YDR164C,chrIV:774262-774300:-
YDR165W,chrIV:774852-774857:+
YDR166C,chrIV:779265-779326:-
YDR167W,chrIV:779418-779466:+
YDR168W,chrIV:780278-780342:+
YDL220C,chrIV:78302-78332:-
YDR169C,chrIV:784012-784020:-
YDL219W,chrIV:78452-78505:+
YDR170C,chrIV:792413-792502:-
YDR171W,chrIV:794676-794793:+
YDR172W,chrIV:796427-796490:+
YDR173C,chrIV:799834-799890:-
YDR174W,chrIV:800244-800385:+
YDR175C,chrIV:802343-802390:-
YDR176W,chrIV:802562-802602:+
YDR177W,chrIV:804902-805025:+
YDR178W,chrIV:805986-806148:+
YDR179C,chrIV:807364-807414:-
YDR179W-A,chrIV:807498-807561:+
YDR180W,chrIV:809276-809393:+
YDR181C,chrIV:815569-815614:-
YDR182W,chrIV:815712-815777:+
YDR183W,chrIV:817715-817785:+
YDL217C,chrIV:81980-82042:-
YDR185C,chrIV:820723-820800:-
YDR186C,chrIV:823724-823795:-
YDR188W,chrIV:824514-824612:+
YDR189W,chrIV:826536-826594:+
YDR190C,chrIV:830202-830287:-
YDR191W,chrIV:830468-830531:+
YDR192C,chrIV:833076-833140:-
YDR194C,chrIV:836157-836181:-
YDR195W,chrIV:836550-836575:+
YDR196C,chrIV:839185-839268:-
YDR197W,chrIV:839371-839415:+
YDR198C,chrIV:842184-842233:-
YDR200C,chrIV:844307-844385:-
YDR201W,chrIV:844451-844514:+
YDR202C,chrIV:846159-846240:-
YDR204W,chrIV:846268-846363:+
YDR205W,chrIV:847507-847553:+
YDR206W,chrIV:849904-849971:+
YDR207C,chrIV:855755-855821:-
YDR208W,chrIV:856216-856352:+
YDR211W,chrIV:860940-861026:+
YDR212W,chrIV:863460-863533:+
YDR213W,chrIV:865830-865893:+
YDR214W,chrIV:869063-869196:+
YDR216W,chrIV:870850-871061:+
YDL215C,chrIV:87199-87419:-
YDR217C,chrIV:879844-879866:-
YDR218C,chrIV:881369-881449:-
YDR219C,chrIV:883322-883424:-
YDR221W,chrIV:883599-883642:+
YDR222W,chrIV:886334-886354:+
YDR223W,chrIV:888131-888136:+
YDR224C,chrIV:891000-891194:-
YDR225W,chrIV:891727-891849:+
YDR226W,chrIV:892725-892791:+
YDR227W,chrIV:893772-893780:+
YDL214C,chrIV:89860-89928:-
YDR228C,chrIV:900217-900261:-
YDR229W,chrIV:900987-901081:+
YDR231C,chrIV:903207-903313:-
YDR232W,chrIV:903739-903799:+
YDR233C,chrIV:906665-906828:-
YDR234W,chrIV:907407-907490:+
YDR235W,chrIV:909809-909840:+
YDL213C,chrIV:91215-91248:-
YDR236C,chrIV:912184-912293:-
YDR237W,chrIV:912793-912821:+
YDL212W,chrIV:91587-91664:+
YDR238C,chrIV:917171-917216:-
YDR239C,chrIV:919762-919829:-
YDR240C,chrIV:921506-921510:-
YDR242W,chrIV:922672-922798:+
YDR243C,chrIV:926299-926335:-
YDR244W,chrIV:926492-926536:+
YDR245W,chrIV:928704-928772:+
YDR246W,chrIV:930244-930286:+
YDR247W,chrIV:931629-931782:+
YDR248C,chrIV:934353-934448:-
YDR249C,chrIV:935836-935910:-
YDR251W,chrIV:936279-936326:+
YDL211C,chrIV:93692-93760:-
YDR252W,chrIV:939378-939412:+
YDR253C,chrIV:940695-940797:-
YDR254W,chrIV:941019-941098:+
YDR255C,chrIV:943804-943899:-
YDR256C,chrIV:945689-945787:-
YDR257C,chrIV:947493-947525:-
YDR258C,chrIV:950289-950351:-
YDR259C,chrIV:951870-952064:-
YDR260C,chrIV:953264-953314:-
YDR261C,chrIV:955263-955352:-
YDR262W,chrIV:965444-965559:+
YDR263C,chrIV:967973-968015:-
YDR264C,chrIV:970754-970820:-
YDR265W,chrIV:971181-971234:+
YDR266C,chrIV:974598-974623:-
YDR267C,chrIV:975935-975946:-
YDR268W,chrIV:976299-976338:+
YDL210W,chrIV:97722-97783:+
YDR270W,chrIV:977908-978012:+
YDR272W,chrIV:981296-981364:+
YDR273W,chrIV:982474-982544:+
YDR275W,chrIV:984537-984754:+
YDR276C,chrIV:986008-986183:-
YDR277C,chrIV:988184-988312:-
YDR279W,chrIV:991680-991810:+
YDR280W,chrIV:993034-993120:+
YDR281C,chrIV:994796-994883:-
YDR282C,chrIV:996851-996870:-
YIL129C,chrIX:103639-103684:-
YIL128W,chrIX:104057-104077:+
YIL127C,chrIX:107987-108023:-
YIL126W,chrIX:108245-108304:+
YIL125W,chrIX:112972-112975:+
YIL124W,chrIX:116446-116531:+
YIL123W,chrIX:118337-118486:+
YIL122W,chrIX:120574-120621:+
YIL121W,chrIX:122426-122506:+
YIL120W,chrIX:124554:+
YIL119C,chrIX:128320-128356:-
YIL118W,chrIX:129886-129995:+
YIL117C,chrIX:131926-132008:-
YIL116W,chrIX:133125-133183:+
YIL115C,chrIX:139132-139191:-
YIL114C,chrIX:140263-140334:-
YIL113W,chrIX:140731-140807:+
YIL112W,chrIX:141808-141865:+
YIL111W,chrIX:145564-145581:+
YIL110W,chrIX:146253-146288:+
YIL109C,chrIX:150449-150553:-
YIL108W,chrIX:151114-151173:+
YIL107C,chrIX:156169-156212:-
YIL106W,chrIX:156557-156636:+
YIL105C,chrIX:160018-160046:-
YIL104C,chrIX:161766-161783:-
YIL103W,chrIX:161943-161961:+
YIL102C-A,chrIX:163857-163892:-
YIL101C,chrIX:167475-167742:-
YIL099W,chrIX:168235-168288:+
YIL098C,chrIX:170513-170580:-
YIL097W,chrIX:170671-170721:+
YIL096C,chrIX:173422-173455:-
YIL095W,chrIX:174037-174110:+
YIL094C,chrIX:177944-178061:-
YIL093C,chrIX:179132-179184:-
YIL092W,chrIX:179295-179327:+
YIL091C,chrIX:183510-183551:-
YIL090W,chrIX:183721-183781:+
YIL088C,chrIX:189714-189790:-
YIL087C,chrIX:190396-190508:-
YIL085C,chrIX:192392-192423:-
YIL084C,chrIX:193586-193626:-
YIL083C,chrIX:194960-195078:-
YIL078W,chrIX:197308-197353:+
YIL077C,chrIX:200806-200900:-
YIL076W,chrIX:201465-201529:+
YIL075C,chrIX:205576-205662:-
YIL074C,chrIX:207392-207495:-
YIL073C,chrIX:210826-210929:-
YIL072W,chrIX:211356-211469:+
YIL071C,chrIX:214853-215013:-
YIL070C,chrIX:215973-216033:-
YIL069C,chrIX:217289-217366:-
YIL068C,chrIX:220367-220418:-
YIL067C,chrIX:222678-222702:-
YIL066C,chrIX:225635-225645:-
YIL065C,chrIX:226650-226750:-
YIL063C,chrIX:228634-228672:-
YIL062C,chrIX:229385-229454:-
YIL061C,chrIX:230475-230513:-
YIL059C,chrIX:231596-231628:-
YIL057C,chrIX:232972-233082:-
YIL166C,chrIX:23305-23340:-
YIL056W,chrIX:234563-234565:+
YIL055C,chrIX:238495-238670:-
YIL053W,chrIX:239568-239687:+
YIL051C,chrIX:242878-242954:-
YIL050W,chrIX:243350-243458:+
YIL049W,chrIX:244732-244735:+
YIL048W,chrIX:245687-245772:+
YIL164C,chrIX:25066-25144:-
YIL047C,chrIX:252411-252444:-
YIL046W,chrIX:252932-253282:+
YIL045W,chrIX:255605-255718:+
YIL044C,chrIX:258439-258493:-
YIL043C,chrIX:259533-259573:-
YIL042C,chrIX:260867-260965:-
YIL041W,chrIX:261079-261119:+
YIL040W,chrIX:262268-262333:+
YIL039W,chrIX:262778-263011:+
YIL038C,chrIX:267478-267512:-
YIL036W,chrIX:270092-270151:+
YIL035C,chrIX:273571-273665:-
YIL034C,chrIX:274702-274778:-
YIL033C,chrIX:276284-276625:-
YIL162W,chrIX:27693-27815:+
YIL031W,chrIX:277027-277101:+
YIL030C,chrIX:284645-284724:-
YIL027C,chrIX:290284-290370:-
YIL026C,chrIX:294100-294168:-
YIL024C,chrIX:295343-295436:-
YIL022W,chrIX:297214-297262:+
YIL161W,chrIX:29779-29845:+
YIL021W,chrIX:298978-299040:+
YIL020C,chrIX:301011-301077:-
YIL019W,chrIX:301225-301257:+
YIL018W,chrIX:302873-302893:+
YIL016W,chrIX:307557-307601:+
YIL014C-A,chrIX:312074-312127:-
YIL014W,chrIX:312411-312471:+
YIL160C,chrIX:31805-31902:-
YIL013C,chrIX:318996-319072:-
YIL011W,chrIX:320099-320226:+
YIL010W,chrIX:321262-321363:+
YIL159W,chrIX:32144-32157:+
YIL009W,chrIX:331731-331737:+
YIL008W,chrIX:334844-334921:+
YIL007C,chrIX:336059-336125:-
YIL006W,chrIX:336434-336449:+
YIL005W,chrIX:337903-338045:+
YIL004C,chrIX:340916-340964:-
YIL003W,chrIX:341470-341505:+
YIL002W-A,chrIX:342670-342693:+
YIL002C,chrIX:345967-346044:-
YIL001W,chrIX:346271-346281:+
YIR001C,chrIX:349318-349407:-
YIR002C,chrIX:352873-352883:-
YIR003W,chrIX:353230-353286:+
YIR004W,chrIX:355529-355622:+
YIR005W,chrIX:357231-357287:+
YIR006C,chrIX:362248-362296:-
YIR007W,chrIX:362893-363019:+
YIL158W,chrIX:36488-36564:+
YIR008C,chrIX:366631-366722:-
YIR009W,chrIX:366786-366812:+
YIR010W,chrIX:367676-367712:+
YIR011C,chrIX:370525-370610:-
YIR012W,chrIX:370756-370799:+
YIR015W,chrIX:374237-374254:+
YIR016W,chrIX:374893-375022:+
YIR017C,chrIX:376405-376563:-
YIR018W,chrIX:376869-376952:+
YIL157C,chrIX:37890-37947:-
YIL156W-B,chrIX:38010-38025:+
YIL156W,chrIX:38419-38460:+
YIR019C,chrIX:384193-384352:-
YIR019C,chrIX:384749-384849:-
YIR021W,chrIX:388271-388299:+
YIR022W,chrIX:389699-389771:+
YIR023W,chrIX:390785-390800:+
YIR024C,chrIX:394525-394561:-
YIR025W,chrIX:394636-394679:+
YIR026C,chrIX:397007-397054:-
YIR027C,chrIX:398608-398795:-
YIR028W,chrIX:399452-399481:+
YIR029W,chrIX:401708-401898:+
YIR030C,chrIX:403810-403842:-
YIR031C,chrIX:405717-405845:-
YIR032C,chrIX:406635-406667:-
YIR033W,chrIX:407065-407162:+
YIR034C,chrIX:411781-411848:-
YIR035C,chrIX:412829-412892:-
YIR036C,chrIX:413884-413982:-
YIR037W,chrIX:414032-414147:+
YIR038C,chrIX:415523-415581:-
YIR039C,chrIX:423290-423351:-
YIL155C,chrIX:44067-44166:-
YIL154C,chrIX:45374-45448:-
YIL153W,chrIX:45489-45557:+
YIL152W,chrIX:46860-46936:+
YIL151C,chrIX:51192-51226:-
YIL150C,chrIX:53107-53117:-
YIL149C,chrIX:58535-58571:-
YIL147C,chrIX:64006-64039:-
YIL146C,chrIX:66320-66325:-
YIL145C,chrIX:67651-67714:-
YIL144W,chrIX:68318-68361:+
YIL143C,chrIX:73400-73459:-
YIL142W,chrIX:73602-73642:+
YIL140W,chrIX:75559-75636:+
YIL139C,chrIX:78998-79096:-
YIL138C,chrIX:80062-80131:-
YIL137C,chrIX:83155-83214:-
YIL136W,chrIX:83878-84041:+
YIL135C,chrIX:86726-86836:-
YIL134W,chrIX:87706-87730:+
YIL133C,chrIX:89793-89838:-
YIL132C,chrIX:90787-90887:-
YIL131C,chrIX:92642-92705:-
YIL130W,chrIX:92986-93038:+
YEL037C,chrV:101480-101586:-
YEL036C,chrV:103414-103469:-
YEL034W,chrV:104306-104424:+
YEL035C,chrV:104463-104511:-
YEL032W,chrV:105557-105655:+
YEL031W,chrV:108952-108986:+
YEL029C,chrV:116603-116614:-
YEL027W,chrV:119356-119465:+
YEL026W,chrV:120470-120570:+
YEL024W,chrV:125854-125975:+
YEL023C,chrV:129288-129323:-
YEL022W,chrV:130030-130091:+
YEL021W,chrV:134776-134871:+
YEL020W-A,chrV:135857-135916:+
YEL020C,chrV:139782-139866:-
YEL019C,chrV:140777-140809:-
YEL018W,chrV:140887-140957:+
YEL017W,chrV:143061-143129:+
YEL016C,chrV:145843-145900:-
YEL015W,chrV:146034-146081:+
YEL013W,chrV:148013-148065:+
YEL012W,chrV:151341-151360:+
YEL011W,chrV:152386-152566:+
YEL009C,chrV:158689-158988:-
YEL007W,chrV:160513-160957:+
YEL006W,chrV:163365-163469:+
YEL005C,chrV:165903-165948:-
YEL004W,chrV:166043-166104:+
YEL002C,chrV:169166-169243:-
YEL001C,chrV:170115-170183:-
YER001W,chrV:172590-172622:+
YER002W,chrV:175846-175904:+
YER003C,chrV:178265-178293:-
YER004W,chrV:178675-178721:+
YER005W,chrV:179561-179645:+
YER006W,chrV:181798-181830:+
YER007W,chrV:183614-183642:+
YER007C-A,chrV:186053-186063:-
YER008C,chrV:190962-191020:-
YER009W,chrV:191152-191215:+
YER010C,chrV:192435-192532:-
YER011W,chrV:194289-194325:+
YER012W,chrV:197155-197269:+
YER013W,chrV:198218-198246:+
YER014W,chrV:201985-202023:+
YER015W,chrV:203899-203970:+
YER016W,chrV:207652-207716:+
YER017C,chrV:211281-211350:-
YER019W,chrV:211842-211857:+
YER018C,chrV:212055-212178:-
YER019C-A,chrV:213975-214086:-
YER020W,chrV:214465-214753:+
YER021W,chrV:216298-216378:+
YER022W,chrV:218185-218211:+
YER023W,chrV:220407-220485:+
YER024W,chrV:221548-221611:+
YER025W,chrV:224600-224670:+
YER026C,chrV:228225-228332:-
YER027C,chrV:230042-230121:-
YER029C,chrV:232980-233025:-
YER030W,chrV:233101-233245:+
YER032W,chrV:234366:+
YER031C,chrV:234528-234551:-
YER033C,chrV:240990-241081:-
